1 1 0.000000106
1 2 0.000000135
2 3 0.000000146
3 5 0.000000143
5 8 0.000000175
8 13 0.000000199
13 21 0.000000204
21 34 0.000000199
34 55 0.000000221
55 89 0.000000272
89 144 0.000000305
144 233 0.000000284
233 377 0.000000308
377 610 0.000000329
610 987 0.000000349
987 1597 0.000000371
1597 2584 0.000000412
2584 4181 0.000000411
4181 6765 0.000000454
6765 10946 0.000000487
10946 17711 0.000000496
17711 28657 0.000000515
28657 46368 0.000000538
46368 75025 0.000000560
75025 121393 0.000000579
121393 196418 0.000000626
196418 317811 0.000000646
317811 514229 0.000000653
514229 832040 0.000000676
832040 1346269 0.000000697
1346269 2178309 0.000000749
2178309 3524578 0.000000742
3524578 5702887 0.000000765
5702887 9227465 0.000000787
9227465 14930352 0.000000808
14930352 24157817 0.000000830
24157817 39088169 0.000000847
39088169 63245986 0.000000870
63245986 102334155 0.000000893
102334155 165580141 0.000000914
