 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.07853401e+01 
 1.00000000e-04  1.00000000e-04  1.00000000e-04 -1.07842870e+01 
 2.00000000e-04  2.00000000e-04  2.00000000e-04 -1.07832305e+01 
 3.00000000e-04  3.00000000e-04  3.00000000e-04 -1.07821766e+01 
 4.00000000e-04  4.00000000e-04  4.00000000e-04 -1.07811223e+01 
 5.00000000e-04  5.00000000e-04  5.00000000e-04 -1.07800662e+01 
 6.00000000e-04  6.00000000e-04  6.00000000e-04 -1.07790098e+01 
 7.00000000e-04  7.00000000e-04  7.00000000e-04 -1.07779545e+01 
 8.00000000e-04  8.00000000e-04  8.00000000e-04 -1.07768960e+01 
 9.00000000e-04  9.00000000e-04  9.00000000e-04 -1.07758415e+01 
 1.00000000e-03  1.00000000e-03  1.00000000e-03 -1.07747839e+01 
 1.10000000e-03  1.10000000e-03  1.10000000e-03 -1.07737273e+01 
 1.20000000e-03  1.20000000e-03  1.20000000e-03 -1.07726690e+01 
 1.30000000e-03  1.30000000e-03  1.30000000e-03 -1.07716105e+01 
 1.40000000e-03  1.40000000e-03  1.40000000e-03 -1.07705531e+01 
 1.50000000e-03  1.50000000e-03  1.50000000e-03 -1.07694940e+01 
 1.60000000e-03  1.60000000e-03  1.60000000e-03 -1.07684347e+01 
 1.70000000e-03  1.70000000e-03  1.70000000e-03 -1.07673765e+01 
 1.80000000e-03  1.80000000e-03  1.80000000e-03 -1.07663139e+01 
 1.90000000e-03  1.90000000e-03  1.90000000e-03 -1.07652553e+01 
 2.00000000e-03  2.00000000e-03  2.00000000e-03 -1.07641964e+01 
 2.10000000e-03  2.10000000e-03  2.10000000e-03 -1.07631346e+01 
 2.20000000e-03  2.20000000e-03  2.20000000e-03 -1.07620753e+01 
 2.30000000e-03  2.30000000e-03  2.30000000e-03 -1.07610144e+01 
 2.40000000e-03  2.40000000e-03  2.40000000e-03 -1.07599520e+01 
 2.50000000e-03  2.50000000e-03  2.50000000e-03 -1.07588893e+01 
 2.60000000e-03  2.60000000e-03  2.60000000e-03 -1.07578307e+01 
 2.70000000e-03  2.70000000e-03  2.70000000e-03 -1.07567677e+01 
 2.80000000e-03  2.80000000e-03  2.80000000e-03 -1.07557046e+01 
 2.90000000e-03  2.90000000e-03  2.90000000e-03 -1.07546413e+01 
 3.00000000e-03  3.00000000e-03  3.00000000e-03 -1.07535793e+01 
 3.10000000e-03  3.10000000e-03  3.10000000e-03 -1.07525144e+01 
 3.20000000e-03  3.20000000e-03  3.20000000e-03 -1.07514521e+01 
 3.30000000e-03  3.30000000e-03  3.30000000e-03 -1.07503870e+01 
 3.40000000e-03  3.40000000e-03  3.40000000e-03 -1.07493231e+01 
 3.50000000e-03  3.50000000e-03  3.50000000e-03 -1.07482578e+01 
